PID,FirstName,LastName,CLUB,NUM,DOB,POS,HomeTown,HomeState,Height,School,Twitter
1030,Amanda,Da Costa,Chicago Red Stars,13,10/7/1989,Midfielder,Somers,New York,5-4,Florida State University,@ADacosta13
1031,Sarah,Gorden,Chicago Red Stars,14,9/13/1992,Defender,Elk Grove,Illinois,5-4,DePaul University,@sarahlgorden
1032,Courtney,Raetzman,Chicago Red Stars,15,4/9/1994,Midfielder,Elk Grove,Illinois,4-11,University of Kentucky,@Craetzman2
1033,Samantha,Johnson,Chicago Red Stars,16,6/10/1991,Defender,Palmdale,California,5-5,USC,N/A
1034,Michele,Dalton,Chicago Red Stars,18,11/5/1988,Goalkeeper,Mount Prospect,Illinois,5-7,University of Wisconsin,@MicheleDalton18
1035,Christen,Press,Chicago Red Stars,23,12/29/1988,Forward,Palos Verdes,California,5-7,Stanford,@ChristenPress
1036,Danielle,Colaprico,Chicago Red Stars,24,5/6/1993,Midfielder,Freehold,New Jersey,5-3,University of Virginia,@dannycolaprico
1037,Mary,Luba,Chicago Red Stars,34,8/30/1993,Midfielder,Shorewood,Wisconsin,5-8,Marquette University,@lubamary
1038,Bianca,Henninger,Houston Dash,1,10/22/1990,Goalkeeper,Los Gatos,California,5-6,Santa Clara University,@BEEYONCS
1039,Poliana,Medeiros,Houston Dash,2,2/6/1991,Defender,Ituiutaba,Brazil,5-9,N/A,N/A
1040,Rachel,Daly,Houston Dash,3,12/6/1991,Forward,Harrogate,England,5-8,St. John's University,@RachelDaly3
1041,Becca,Moros,Houston Dash,4,5/6/1985,Defender,New York City,New York,5-5,Duke University,@BECCAMOROS
1042,Cari,Roccaro,Houston Dash,5,7/18/1994,Defender,East Islip,New York,5-7,Notre Dame,@CARI_ROCCARO
1043,Morgan,Brian,Houston Dash,6,2/26/1993,Midfielder,St. Simons Island,Georgia,5-7,University of Virginia,@MOEEBRIAN
1044,Kealia,Ohai,Houston Dash,7,1/31/1992,Forward,Draper,Utah,5-5,University of North Carolina,@KealiaOhai
1045,Ellie,Brush,Houston Dash,8,8/19/1988,Defender,Canberra,Australia,5-5,N/A,@Brushy7
1046,Chioma,Ubogagu,Houston Dash,9,9/10/1992,Forward,Coppell,Texas,5-7,Stanford,@ChialReadyKnow
1047,Carli,Lloyd,Houston Dash,10,7/16/1982,Forward,Delran Township,New Jersey,5-7,Rutgers University,@CarliLloyd
1048,Janine,Beckie,Houston Dash,11,8/20/1994,Forward,Highlights Ranch,Colorado,5-8,Texas Tech University,@JanineBeckie4
1049,Amber,Brooks,Houston Dash,12,1/23/1991,Midfielder,New Hope,Pennsylvania,5-6,University of North Carolina,@ABRooks22
1050,Denise,O'Sullivan,Houston Dash,13,2/4/1994,Midfielder,Cork,Ireland,5-4,N/A,@OsullivanDenise
1051,Allysha,Chapman,Houston Dash,15,1/25/1989,Defender,Courtice,Ontario,5-3,LSU,@AllyshaChapman
1052,Andressa,Machry,Houston Dash,17,5/1/1995,Midfielder,Roque Gonzales,Brazil,5-3,N/A,N/A
1053,Lydia,Williams,Houston Dash,18,5/13/1988,Goalkeeper,Katanning,Australia,5-9,N/A,@LydsAussie
1054,Melissa,Henderson,Houston Dash,21,8/23/1989,Forward,Garland,Texas,5-8,Notre Dame,@MHenderson06
1055,Stephanie,Ochs,Houston Dash,22,8/29/1990,Defender,San Diego,California,5-9,University of San Diego,@StephOchs7
1056,Cami,Privett,Houston Dash,23,3/16/1993,Midfielder,Bakersfield,California,5-8,UC Irvine,@CamiPrivett
1057,Caity,Heap,Houston Dash,27,12/6/1991,Midfielder,McKinney,Texas,5-4,N/A,@Caity_Heap
1058,Lo'eau,LaBonta,FC Kansas City,1,3/18/1993,Midfielder,Rancho Cucamonga,California,5-2,Stanford,@L0momma
1059,Shea,Groom,FC Kansas City,2,3/4/1993,Forward,Liberty,Missouri,5-6,Texas A&M,@sheabayy2
1060,Desiree,Scott,FC Kansas City,3,7/31/1987,Defender,Winnipeg,Manitoba,5-3,Manitoba,@MsDScott1
1061,Becky,Sauerbrunn,FC Kansas City,4,6/6/1985,Defender,St. Louis,Missouri,5-7,University of Virginia,@beckysauerbrunn
1062,Alex,Arlitt,FC Kansas City,5,8/25/1993,Defender,Houston,Texas,5-5,LSU,@aarlitt
1063,Mandy,Laddish,FC Kansas City,7,5/13/1992,Midfielder,Lee's Summit,Missouri,5-7,Notre Dame,@MandyLaddish
1064,Amy,Rodriguez,FC Kansas City,8,2/17/1987,Forward,Beverly Hills,California,5-4,USC,@AmyRodriguez8
1065,Heather,O'Reilly,FC Kansas City,9,1/2/1985,Midfielder,East Brunswick,New Jersey,5-5,University of North Carolina,@HeatherOReilly
1066,Yael,Averbuch,FC Kansas City,10,11/3/1986,Midfielder,Upper Montclair,New Jersey,5-10,University of North Carolina,@Yael_Averbuch
1067,Frances,Silva,FC Kansas City,11,11/2/1992,Forward,Overland Park,Kansas,5-4,West Virginia University,@fasilva11
1068,Brittany,Taylor,FC Kansas City,13,9/18/1987,Defender,Campbell Hall,New York,5-8,University of Connectcut,N/A
1069,Sydney,Leroux,FC Kansas City,14,5/7/1990,Forward,Scottsdale,Arizona,5-7,UCLA,@sydneyleroux
1070,Erika,Tymrak,FC Kansas City,15,8/7/1991,Midfielder,Bradenton,Florida,5-5,Florida State University,@eTYMrak
1071,Nicole,Barnhart,FC Kansas City,18,10/10/1981,Goalkeeper,Pottstown,Pennsylvania,5-10,Stanford,@nbarnhart
1072,Cat,Parkhill,FC Kansas City,19,5/27/1990,Goalkeeper,Apple Valley,Minnesota,5-7,University of Minnesota,N/A
1073,Tiffany,McCarty,FC Kansas City,20,12/14/1990,Forward,Laurel,Maryland,5-4,Florida State University,N/A
1074,Katie,Bowen,FC Kansas City,21,4/15/1994,Defender,Auckland,New Zealand,5-7,University of North Carolina,@Kati3bowen
1075,Brianne,Reed,FC Kansas City,22,N/A,Defender,Tinton Falls,New Jersey,5-5,Rutgers University,@BreezyF_Baby30
1076,Caroline,Kastor,FC Kansas City,23,10/12/1991,Forward,Wichita,Kansas,5-3,University of Kansas,@carolinekastor
1077,Molly,Menchel,FC Kansas City,24,12/5/1991,Midfielder,Alexandria,Virginia,5-4,University of Virginia,@igottheMenchies
1078,Alexa,Newfield,FC Kansas City,88,12/3/1991,Midfielder,Decatur,Georgia,5-3,University of North Carolina,@newlex8
1079,Ashlyn,Harris,Orlando Pride,1,10/19/1985,Goalkeeper,Satellite Beach,Florida,5-9,University of North Carolina,@Ashlyn_Harris
1080,Camille,Levin,Orlando Pride,2,4/24/1990,Defender,Newport Beach,California,5-3,Stanford,@C_Levin
1081,Toni,Pressley,Orlando Pride,3,2/19/1990,Defender,Melbourne,Florida,5-11,Florida State University,@Toni_Deion
1082,Jamia,Fields,Orlando Pride,4,9/24/1993,Forward,Alta Loma,California,5-5,Florida State University,@JamiaFields4
1083,Laura,Alleway,Orlando Pride,5,11/28/1989,Defender,Templestowe,Australia,5-10,N/A,@LauraAlleway
1084,Kaylyn,Kyle,Orlando Pride,6,10/06/1988,Midfielder,Saskatoon,Canada,5-8,University of Saskatchewan,@KaylynKyle
1085,Stephanie,Catley,Orlando Pride,7,1/26/1994,Defender,Melbourne,Australia,5-7,N/A,@StephCatley
1086,Sarah,Hagen,Orlando Pride,8,11/18/1989,Forward,Appleton,Wisconsin,5-11,University of Wisconsin- Milwaukee,@SarahAppleHagen
1087,Josee,Belanger,Orlando Pride,9,5/14/1986,Defender,Coaticook,Quebec,5-4,University de Sherbrooke,@JoseeBelanger9
1088,Lisa,de Vanna,Orlando Pride,10,11/14/1984,Forward,Perth,Australia,5-1,N/A,@lisadevanna11
1089,Ali,Krieger,Orlando Pride,11,7/28/1984,Defender,Alexandria,Virginia,5-6,Penn State,@alikrieger
1090,Kristen,Edmonds,Orlando Pride,12,5/22/1987,Defender,Metuchen,New Jersey,5-5,Rutgers University,@Kris10Edmonds
1091,Alex,Morgan,Orlando Pride,13,7/2/1989,Forward,Diamond Bar,California,5-7,UC Berkeley,@AlexMorgan13
1092,Becky,Edwards,Orlando Pride,14,5/22/1988,Midfielder,Downingtown,Pennsylvania,5-7,Florida State University,@BeckyEdwards14
1093,McKenzie,Berryhill,Orlando Pride,16,3/24/1993,Defender,Phoenix,Arizona,5-8,Arizona State University,N/A
1094,Danielle,Weatherholt,Orlando Pride,17,3/17/1994,Midfielder,San Clemente,California,5-8,Santa Clara University,@DaniWeatherHolt
1095,Maddy,Evans,Orlando Pride,18,4/21/1991,Defender,Philadelphia,Pennsylvania,5-6,Penn State,@Mevans018
1096,Aubrey,Bledsoe,Orlando Pride,19,11/20/1991,Goalkeeper,Cincinnati,Ohio,5-9,Wake Forest,@AubreyBledsoe
1097,Monica,Hickmann Alves,Orlando Pride,21,4/21/1987,Defender,Porto Alegre,Brazil,5-8,N/A,@MonicaHickmannA
1098,Jasmyne,Spencer,Orlando Pride,23,8/27/1990,Forward,Bay Shore,New York,5-1,University of Maryland,@Jas_It_Up
1100,Kaitlyn,Savage,Orlando Pride,25,10/27/1990,Goalkeeper,Gig Harbor,Washington,5-10,Florida International University,@kaitlynsavage
1101,Samantha,Witteman,Orlando Pride,26,2/26/1994,Midfielder,Redondo Beach,California,5-3,UC Berkeley,@Swittyyy
1102,Christina,Burkenroad,Orlando Pride,N/A,7/12/1993,Forward,San Diego,California,5-10,Cal State Fullerton,@Cburky4
1103,Katherine,Reynolds,Portland Thorns FC,2,9/14/1987,Defender,Medina,Washington,5-7,Santa Clara University,@KReynolds16
1104,Emily,Menges,Portland Thorns FC,4,7/28/1992,Defender,Garden City,New York,5-7,Georgetown Univesity,@Em_Meningitis3
1105,Mana,Shim,Portland Thorns FC,6,9/25/1991,Midfielder,Honolulu,Hawaii,5-4,Santa Clara University,@MeleanaShim
1106,Lindsey,Horan,Portland Thorns FC,7,5/26/1994,Midfielder,Golden,Colorado,5-9,N/A,@LindseyHoran11
1107,Nadia,Nadim,Portland Thorns FC,9,1/2/1988,Forward,Kabul,Afghanistan,5-9,N/A,@Nadia_Nadim
1108,Allie,Long,Portland Thorns FC,10,8/13/1987,Midfielder,Northport,New York,5-8,University of North Carolina,@Allie_Long
1109,Dagny,Brynjarsdottir,Portland Thorns FC,11,8/10/1991,Midfielder,Hella,Iceland,5-11,Florida State University,@DagnyBrynjars
1110,Christine,SInclair,Portland Thorns FC,12,6/12/1983,Forward,Burnaby,Canada,5-9,University of Portland,@Sincy12
1111,Kendall,Johnson,Portland Thorns FC,15,4/24/1991,Midfielder/Defender,Portland,Oregon,5-5,University of Portland,@Kendelish
1112,Emily,Sonnett,Portland Thorns FC,16,11/25/1993,Defender,Marietta,Georgia,5-7,University of Virginia,@EmilySonnett
1113,Tobin,Heath,Portland Thorns FC,17,5/29/1988,Midfielder,Basking Ridge,New Jersey,5-6,University of North Carolina,@TobinHeath
1114,Michelle,Betos,Portland Thorns FC,18,2/20/1988,Goalkeeper,New York City,New York,5-9,University of Georgia,@MichelleBetos
1115,Hayley,Raso,Portland Thorns FC,21,9/5/1994,Forward,Brisbane,Australia,5-4,N/A,@HayleyRaso
1116,Adrianna,Franch,Portland Thorns FC,24,11/12/1990,Goalkeeper,Salina,Kansas,5-9,Oklahoma State University,@ADizzle23
1117,Meghan,Klingenberg,Portland Thorns FC,25,8/2/1988,Defender,Gibsonia,Pennsylvania,5-2,University of North Carolina,@MeghanKling
1118,Mallory,Weber,Portland Thorns FC,26,4/4/1994,Fourward,Novi,Michigan,5-4,Penn State,@Mal_Weber16
1119,Amandine,Henry,Portland Thorns FC,28,9/28/1989,Midfielder,Lille,France,5-6,N/A,@AmandineHenry16
1120,Celeste,Boureille,Portland Thorns FC,30,4/20/1994,Midfielder,San Francisco,California,5-9,University of California Berkley,@CelBee
1121,Meg,Morris,Portland Thorns FC,44,5/11/1992,Defender,Montclair,New Jersey,5-4,University of North Carolina,@MegMo_32
1122,Lauren,Barnes,Seattle Reign FC,3,5/31/1989,Defender,Arcadia,California,5-5,University of California Los Angeles,@LaurenKB31
1123,Rachel,Corsie,Seattle Reign FC,4,8/17/1989,Defender,Aberdeen,Scotland,5-9,N/A,@RachelCorsie14
1124,Lindsay,Elston,Seattle Reign FC,6,4/30/1992,Midfielder,McMurray,Pennsylvania,5-8,University of Washington,@ElstonLindsay
1125,Elli,Reed,Seattle Reign FC,7,8/10/1989,Defender,Park City,Utah,5-5,University of Portland,@ElliReed
1126,Merritt,Mathias,Seattle Reign FC,9,7/2/1990,Forward,Birmingham,Alabama,5-6,University of North Carolina,@MerrBear11
1127,Jess,Fishlock,Seattle Reign FC,10,1/14/1987,Midfielder,Cardiff,Wales,5-2,N/A,@JessFishlock
1128,Kendall,Fletcher,Seattle Reign FC,13,11/6/1984,Defender,Cary,North Carolina,5-6,University of North Carolina,@KendallFletcher
1129,Megan,Rapinoe,Seattle Reign FC,15,7/5/1985,Forward,Redding,California,5-7,University of Portland,@mPinoe
1130,Carson,Pickett,Seattle Reign FC,16,9/15/1993,Defender,Fleming Island,Florida,5-8,Florida State University,@Cars_Pickett16
1131,Beverly,Yanez,Seattle Reign FC,17,7/19/1988,Forward,Moreno Valley,California,5-8,University of Miami,@BeverlyGoebel
1132,Havana,Solaun,Seattle Reign FC,19,2/23/1993,Midfielder,Gainesville,Florida,5-9,University of Florida,@HavanaSolaun
1133,Rumi,Utsugi,Seattle Reign FC,20,12/5/1988,Midfielder,Kanagawa,Japan,5-6,N/A,N/A
1134,Andi,Tostanoski,Seattle Reign FC,24,8/29/1994,Goalkeeper,Colorado Springs,Colorado,5-9,Santa Clara University,@aatostanoski
1135,Kiersten,Dallstream,Seattle Reign FC,25,3/5/1988,Forward,Kirksville,Missouri,5-7,Washington State University,@Kiersten_Roan
1136,Haley,Kopmeyer,Seattle Reign FC,28,6/28/1990,Goalkeeper,Troy,Michigan,5-11,University of Michigan,@HKopmeyer
1137,Nahomi,Kawasumi,Seattle Reign FC,36,9/23/1985,Forward,Kanagawa,Japan,5-2,Nippon Sport Science University,@NKawasumi
1138,Shawna,Gordon,New Jersey Sky Blue Fc,2,1/18/1990,Midfielder,Los Angeles,California,5-6,"California State University, Long Beach",@Shawna_Gordonn
1139,Christie,Rampone,New Jersey Sky Blue Fc,3,6/24/1975,Defender,Point Pleasant,New Jersey,5-6,Monmouth University,@ChristieRampone
1140,Maya,Hayes,New Jersey Sky Blue Fc,5,3/26/1992,Forward,Montclair,New Jersey,5-7,Penn State,@Hayzee11
1141,Taylor,Lytle,New Jersey Sky Blue Fc,6,3/31/1989,Midfielder,Las Cruces,New Mexico,5-2,Texas Tech University,@Taylor_Lytle
1142,Nikki,Stanton,New Jersey Sky Blue Fc,7,10/26/1990,Midfielder,North Bend,Washington,5-7,Fairfield University,@GutiNikki7
1143,Erica,Skroski,New Jersey Sky Blue Fc,8,2/14/1994,Defender,Galloway,New Jersey,5-6,Rutgers University,@Erica_Skroski
1144,Raquel,Rodriguez,New Jersey Sky Blue Fc,11,10/28/1993,Midfielder,San Jose,Costa Rica,5-5,Penn State,@RacquelR_17
1145,Kim,Decesare,New Jersey Sky Blue Fc,12,8/11/1991,Forward,Massapequa Park,New York,5-10,Duke University,@kmd32
1146,Kristin,Grubka,New Jersey Sky Blue Fc,13,12/17/1992,Defender,Melbourne,Florida,5-10,Florida State University,@kgrubs13
1147,Coco,Goodson,New Jersey Sky Blue Fc,15,6/19/1990,Defender,Ramona,California,5-11,University of California Irvine,@CocoGoodson
1148,Sarah,Killion,New Jersey Sky Blue Fc,16,7/27/1992,Midfielder,Fort Wayne,Indiana,5-8,University of California Los Angeles,@SKillion16
1149,Caroline,Stanley,New Jersey Sky Blue Fc,18,3/16/1993,Goalkeeper,Oklahoma City,Oklahoma,5-10,University of Southern California,@CarolineStan
1150,Kelly,O'Hara,New Jersey Sky Blue Fc,19,8/4/1988,Defender,Fayetteville,Georgia,5-5,Stanford,@KOhara19
1151,Sam,Kerr,New Jersey Sky Blue Fc,20,9/10/1993,Forward,Fremantle,Australia,5-6,N/A,@SamKerr1
1152,Leah,Galton,New Jersey Sky Blue Fc,21,5/24/1994,Forward,Harrogate,England,5-7,Hofstra University,@LGaltonn
1153,Kelly,Conheeney,New Jersey Sky Blue Fc,24,1/24/1991,Midfielder,Ridgewood,New Jersey,5-5,Virginia Tech,@Kelly13Con_
1154,Domi,Richardson,New Jersey Sky Blue Fc,26,10/18/1992,Midfielder,Fullerton,California,5-6,University of Missouri,@Domi_Richardson
1155,Caroline,Casey,New Jersey Sky Blue Fc,27,5/27/1994,Goalkeeper,Chesapeake,Virginia,5-8,College of William and Mary,@Standupcoyote
1156,Catherine,Zimmerman,New Jersey Sky Blue Fc,29,N/A,Forward,Madison,New Jersey,N/A,Providence,N/A
1157,Tasha,Kai,New Jersey Sky Blue Fc,32,5/22/1983,Forward,Kahuku,Hawaii,5-8,University of Hawaii,@NatashaKai
1158,Erin,Simon,New Jersey Sky Blue Fc,33,8/19/1994,Defender,Oakhurst,New Jersey,5-5,Syracuse University,@ErinSimon19
1159,Theresa,Diederich,New Jersey Sky Blue Fc,44,11/05/1992,Midfielder,Ponte Vedra Beach,Florida,N/A,University of Alabama,@TDiederich44
1160,Danielle,Schulmann,New Jersey Sky Blue Fc,88,12/22/1989,Forward,Saddle River,New Jersey,5-3,University of Connecticut,@dschulmann8
1161,Stephanie,Labbe,Washington Spirit,1,10/10/1986,Goalkeeper,Edmonton,Canada,5-10,University of Connecticut,@StephLabbe1
1162,Caprice,Dydasco,Washington Spirit,3,8/19/1993,Defender,Honolulu,Hawaii,5-3,University of California Los Angeles,@CapriceDydasco
1163,Megan,Oyster,Washington Spirit,4,9/3/1992,Defender,Naperville,Illinois,5-8,University of California Los Angeles,@MeganOyster
1164,Whitney,Church,Washington Spirit,5,4/30/1993,Defender,Fairfax,Virginia,5-5,Penn State,@WhitChurch17
1165,Shelina,Zardosky,Washington Spirit,6,10/24/1992,Defender,London,Canada,5-8,University of Michigan,@Shelina6
1166,Christine,Nairn,Washington Spirit,7,9/25/1990,Midfielder,Annapolis,Maryland,5-5,Penn State,@NairnChristine
1167,Diana,Matheson,Washington Spirit,8,4/6/1984,Midfielder,Mississagua,Canada,5-0,Princeton,@DMatheson8
1168,Estefania,Banini,Washington Spirit,10,6/21/1990,Midfielder,Mendoza,Argentina,5-4,N/A,@EstefiBanini_10
1169,Ali,Krieger,Washington Spirit,11,7/28/1984,Defender,Dumfries,Virginia,5-6,Penn State,@Alikrieger
1170,Katie,Stengel,Washington Spirit,12,2/29/1992,Forward,Melbourne,Florida,5-9,Wake Forest,@KSteng12
1171,Francisca,Ordega,Washington Spirit,14,10/19/1993,Forward,Gboko,Nigeria,5-1,N/A,@OrdegaF
1172,Joanna,Lohman,Washington Spirit,15,6/26/1982,Midfielder,Silver Spring,Maryland,5-5,Penn State,@JoannaLohman
1173,Cali,Farquharson,Washington Spirit,17,12/17/1993,Forward,Yakota,Japan,5-7,Arizona State University,@CaliFarq
1174,Kelsey,Wys,Washington Spirit,18,2/4/1991,Goalkeeper,Coral Springs,Florida,5-10,Florida State University,@KelseyWys
1175,Crystal,Dunn,Washington Spirit,19,7/3/1992,Forward,Rockville Center,New York,5-1,University of North Carolina,@CrysDunn_19
1176,Cheyna,Williams,Washington Spirit,20,11/10/1993,Forward,Hampton,Georgia,5-9,Florida State University,@Cheynalee20
1177,Alyssa,Kleiner,Washington Spirit,22,4/1/1993,Defender,Las Vegas,Nevada,5-9,Santa Clara University,N/A
1178,Tori,Hustler,Washington Spirit,23,9/23/1989,Midfielder,Cincinnati,Ohio,5-5,Florida State University,N/A
1179,Estelle,Johnson,Washington Spirit,24,3/30/1988,Defender,Fort Collins,Colorado,5-6,University of Kansas,@EstelleJohnson
1180,Line,Jensen,Washington Spirit,27,8/23/1991,Defender,Somewhere,Denmark,5-6,N/A,N/A
1181,Laura,del Rio,Washington Spirit,57,2/5/1982,Forward,Madrid,Spain,5-4,N/A,@LauDelRio10
1182,Katelyn,Rowland,Western New York Flash,0,3/16/1994,Goalkeeper,Vacaville,California,5-11,UCLA,@rowland_katelyn
1183,Sabrina,D'Angelo,Western New York Flash,1,5/11/1993,Goalkeeper,Welland,Ontario,5-7,University of South Carolina,@SabsDAngelo
1184,Michaela,Hahn,Western New York Flash,2,4/19/1994,Midfielder,Titusville,Florida,5-4,Florida State University,@Miachelahahn8
1185,Mackenzy,Doniak,Western New York Flash,3,2/25/1994,Forward,Chino Hills,California,5-8,University of Virginia,@makenzy_allyson
1186,Elizabeth,Eddy,Western New York Flash,4,9/13/1991,Midfielder,Costa Mesa,California,5-5,USC,@elzabetheddy2
1187,Samantha,Mewis,Western New York Flash,5,10/9/1992,Midfielder,Hanson,Massachusetts,5-11,UCLA,@sammymewy
1188,Abby,Erceg,Western New York Flash,6,11/20/1989,Midfielder,Whangarei,New Zealand,5-10,N/A,@aerceg5
1189,McCall,Zerboni,Western New York Flash,7,12/13/1986,Midfielder,Camarillo,California,5-4,UCLA,@McCaLL2
1190,Alanna,Kennedy,Western New York Flash,8,1/21/1995,Defender,Campbelltown,Australia,5-9,N/A,@AlannaKennedy
1191,Lynn,Williams,Western New York Flash,9,5/21/1993,Forward,Fresno,California,5-7,Pepperdine University,@lynnraenie
1192,Lianne,Sanderson,Western New York Flash,10,2/3/1988,Midfielder,London,United Kingdom,5-8,N/A,@liannsanderson
1193,Taylor,Smith,Western New York Flash,11,12/1/1993,Forward,Fort Worth,Texas,5-3,UCLA,@taylorsmith14_
1194,Abby,Dahlkemper,Western New York Flash,13,5/13/1993,Midfielder,Menlo Park,California,5-7,UCLA,@AbbyDahlkemper
1195,Jessica,McDonald,Western New York Flash,14,2/28/1988,Forward,Phoenix,Arizona,6-0,University of North Carolina,@Jess_Mac14
1196,Jaelene,Hinkle,Western New York Flash,15,5/28/1993,Defender,Denver,Colorado,5-4,Texas Tech University,@JaeHinkle_15
1197,Kristen,Hamilton,Western New York Flash,17,4/17/1992,Forward,Littleton,Colorado,5-4,University of Denver,@khamilton17
1198,Janice,Cayman,Western New York Flash,20,10/12/1988,Midfielder,Brasschaat,Belgium,5-6,Florida State University,@janicecayman
1199,Courtney,Niemiec,Western New York Flash,23,4/13/1992,Defender,Philadelphia,Pennsylvania,5-7,La Salle University,@CourtneyNiemiec
1200,Meredith,Speck,Western New York Flash,25,2/1/1993,Midfielder,Rockville Centre,New York,5-3,Yale,N/A
1201,Britt,Eckerstrom,Western New York Flash,28,5/28/1993,Goalkeeper,Germantown,Maryland,5-8,Penn State University,@breck28
